ticker,security_type,company_name,indexed_price,indexed_quantity,market_cap
LCBF,LCBF.N0000,LCB FINANCE PLC,8.1,790168780,6400367118.0
LCEY,LCEY.N0000,LANKEM CEYLON,40.5,137255352,5558841756.0
LDEV,LDEV.N0000,LANKEM DEV.,23.0,160000000,3680000000.0
LFIN,LFIN.N0000,LB FINANCE,155.25,554057136,86017370364.0
LGIL,LGIL.N0000,LOLC GENERAL INS,8.0,1200000000,9600000000.0
LGL,LGL.N0000,LAUGFS GAS,71.7,335000086,24019506166.2
LHCL,LHCL.N0000,LANKA HOSPITALS,106.0,223732169,23715609914.0
LHL,LHL.N0000,LIGHTHOUSE HOTEL,82.0,46000000,3772000000.0
LIOC,LIOC.N0000,LANKA IOC,129.0,532465705,68688075945.0
LION,LION.N0000,LION  BREWERY,1693.75,80000000,135500000000.0
LITE,LITE.N0000,LAXAPANA,55.0,66224939,3642371645.0
LLUB,LLUB.N0000,CHEVRON,184.0,240000000,44160000000.0
LMF,LMF.N0000,LMF,67.8,399980000,27118644000.0
LOFC,LOFC.N0000,LOLC FINANCE,5.7,29560147161,168492838817.7
LOLC,LOLC.N0000,L O L C HOLDINGS,560.0,475200000,266112000000.0
LPL,LPL.N0000,LAUGFS POWER,14.0,335000086,4690001204.0
LPRT,LPRT.N0000,LAKE HOUSE PRIN.,460.0,2937245,1351132700.0
LUMX,LUMX.N0000,LUMINEX,6.8,271250000,1844500000.0
LVEF,LVEF.N0000,LVL ENERGY,9.9,698733742,6917464045.8
LVEN,LVEN.N0000,LANKA VENTURES,69.8,58324932,4071080253.6
LWL,LWL.N0000,LANKA WALLTILE,50.0,273000000,13650000000.0
MADU,MADU.N0000,MADULSIMA,12.0,169501097,2034013164.0
MAL,MAL.N0000,MALWATTE,59.6,202792331,12086422927.6
MARA,MARA.N0000,MARAWILA RESORTS,7.2,351923389,2533848400.8
MASK,MASK.N0000,MASKELIYA,81.1,53953489,4375627957.9
MBSL,MBSL.N0000,MERCHANT BANK,12.7,524539637,6661653389.9
MCPL,MCPL.N0000,MAHAWELI COCONUT,52.4,34996115,1833796426.0
MDL,MDL.N0000,MYLAND,18.6,36250000,674250000.0
MEL,MEL.N0000,GREENTECH ENERGY,4.1,100000000,410000000.0
MELS,MELS.N0000,MELSTACORP,174.0,1165397072,202779090528.0
MERC,MERC.N0000,MERCANTILE INV,37.2,601200000,22364640000.0
MFPE,MFPE.N0000,MAHARAJA FOODS,13.1,125000000,1637500000.0
MGT,MGT.N0000,HAYLEYS FABRIC,40.7,415481776,16910108283.2
MHDL,MHDL.N0000,MILLENNIUM HOUSE,6.6,134681320,888896712.0
MRH,MRH.N0000,MAHAWELI REACH,19.3,47066447,908382427.1
MSL,MSL.N0000,MERC. SHIPPING,525.0,2844990,1493619750.0
MULL,MULL.N0000,MULLERS,2.1,283000000,594300000.0
NAMU,NAMU.N0000,NAMUNUKULA,650.0,23750000,15437500000.0
NDB,NDB.N0000,NAT. DEV. BANK,141.25,426889457,60298135801.25
NEH,NEH.N0000,NUWARA ELIYA,4500.0,2186040,9837180000.0
NHL,NHL.N0000,NAWALOKA,10.3,1409505596,14517907638.8
NTB,NTB.N0000,NATIONS TRUST,313.0,286015907,89522978891.0
ODEL,ODEL.N0000,ODEL PLC,11.7,538369934,6298928227.8
OFEQ,OFEQ.N0000,OFFICE EQUIPMENT,295.5,833560,246316980.0
ONAL,ONAL.N0000,ON'ALLY,41.1,93003087,3822426875.7
OSEA,OSEA.N0000,OVERSEAS REALTY,38.7,1243029582,48105244823.4
PABC,PABC.N0000,PAN ASIA,59.9,442561629,26509441577.1
PACK,PACK.N0000,EX-PACK,14.1,333333333,4699999995.3
PALM,PALM.N0000,PALM GARDEN HOTL,66.9,475937000,31840185300.0
PAP,PAP.N0000,PANASIAN POWER,25.4,625000000,15875000000.0
PARA,PARA.N0000,PARAGON,178.0,1000280,178049840.0
PARQ,PARQ.N0000,SWISSTEK,92.6,136860000,12673236000.0
PEG,PEG.N0000,PEGASUS HOTELS,50.1,42210470,2114744547.0
PHAR,PHAR.N0000,COLOMBO CITY,126.0,25457140,3207599640.0
PINS,PINS.N0000,PEOPLE'S INS,32.5,203632478,6618055535.0
PKME,PKME.N0000,PICKME,149.25,333323673,49748558195.25
PLC,PLC.N0000,PEOPLES LEASING,25.0,2209867246,55246681150.0
PLR,PLR.N0000,PRIMERESIDENCIES,33.2,937500000,31125000000.0
PMB,PMB.N0000,PEOPLE'S MERCH,14.0,405301750,5674224500.0
RAL,RAL.N0000,RENUKA AGRI,12.2,798829305,9745717521.0
RCH,RCH.N0000,RENUKA HOTELS,241.0,40297530,9711704730.0
RCL,RCL.N0000,ROYAL CERAMIC,46.0,1107893840,50963116640.0
REEF,REEF.N0000,CITRUS LEISURE,4.3,645584677,2776014111.1
RENU,RENU.N0000,RENUKA CITY HOT.,850.0,7000000,5950000000.0
REXP,REXP.N0000,RICH PIERIS EXP,397.25,11163745,4434797701.25
RFL,RFL.N0000,RAMBODA FALLS,37.8,20000000,756000000.0
RGEM,RGEM.N0000,RADIANT GEMS,97.9,2400000,234960000.0
RHL,RHL.N0000,RENUKA HOLDINGS,48.9,165488271,8092376451.9
RHTL,RHTL.N0000,FORTRESS RESORTS,29.5,110886684,3271157178.0
RICH,RICH.N0000,RICHARD PIERIS,42.5,2035038275,86489126687.5
RIL,RIL.N0000,R I L PROPERTY,32.2,800000000,25760000000.0
RPBH,RPBH.N0000,ROYAL PALMS,61.3,50000000,3065000000.0
RWSL,RWSL.N0000,RAIGAM SALTERNS,26.4,282207320,7450273248.0
SAMP,SAMP.N0000,SAMPATH,146.5,1172700760,171800661340.0
SCAP,SCAP.N0000,SOFTLOGIC CAP,5.1,977187200,4983654720.0
SDB,SDB.N0000,SANASA DEV. BANK,58.1,164166494,9538073301.4
SDF,SDF.N0000,SARVODAYA DEVFIN,41.9,149596052,6268074578.8
SEMB,SEMB.N0000,S M B FINANCE,0.7,6470375048,4529262533.6
SERV,SERV.N0000,KINGSBURY,21.5,484000000,10406000000.0
SEYB,SEYB.N0000,SEYLAN BANK,105.0,305236937,32049878385.0
SFCL,SFCL.N0000,SENKADAGALA,1315.25,86279834,113479551668.5
SFIN,SFIN.N0000,SINGER FINANCE,57.3,277851853,15920911176.9
SHAW,SHAW.N0000,LEE HEDGES,228.0,25602730,5837422440.0
SHL,SHL.N0000,SOFTLOGIC,5.9,1395257979,8232022076.1
SHOT,SHOT.N0000,SERENDIB HOTELS,22.5,302058952,6796326420.0
SIGV,SIGV.N0000,SIGIRIYA VILLAGE,139.75,9000000,1257750000.0
SIL,SIL.N0000,SAMSON INTERNAT.,348.25,4232771,1474062500.75
SING,SING.N0000,STANDARD CAPITAL,50.9,5540828,282028145.2
SINH,SINH.N0000,SINGHE HOSPITALS,10.5,431300895,4528659397.5
SINS,SINS.N0000,SINGER SRI LANKA,87.7,1167617912,102400090882.4
SIRA,SIRA.N0000,SIERRA  CABL,35.3,537512430,18974188779.0
SLND,SLND.N0000,SERENDIB LAND,1710.25,398906,682228986.5
SLTL,SLTL.N0000,SLT,82.5,1804860000,148900950000.0
SMOT,SMOT.N0000,SATHOSA MOTORS,1649.75,6033622,9953967894.5
SOY,SOY.N0000,CONVENIENCE FOOD,2215.5,2750000,6092625000.0
SPEN,SPEN.N0000,AITKEN SPENCE,156.25,405996045,63436882031.25
STAF,STAF.N0000,DOLPHIN HOTELS,59.2,63242954,3743982876.8
SUN,SUN.N0000,SUNSHINE HOLDING,35.1,1967894516,69073097511.6
SWAD,SWAD.N0000,SWADESHI,15000.0,149333,2239995000.0
TAFL,TAFL.N0000,THREE ACRE FARMS,592.25,23545000,13944526250.0
TAJ,TAJ.N0000,TAL LANKA,40.9,171866018,7029320136.2
TANG,TANG.N0000,TANGERINE,124.0,20000000,2480000000.0
TAP,TAP.N0000,AMBEON CAPITAL,39.6,1002724815,39707902674.0
TESS,TESS.N0000,TESS AGRO,1.5,677063049,1015594573.5
TILE,TILE.N0000,LANKA TILES,49.9,265252050,13236077295.0
TJL,TJL.N0000,TEEJAY LANKA,34.9,721457738,25178875056.2
TKYO,TKYO.N0000,TOKYO CEMENT,113.5,294030000,33372405000.0
TPL,TPL.N0000,TALAWAKELLE,147.0,47500000,6982500000.0
TRAN,TRAN.N0000,TRANS ASIA,58.0,200000000,11600000000.0
TSML,TSML.N0000,TEA SMALLHOLDER,46.5,30000000,1395000000.0
TYRE,TYRE.N0000,KELANI TYRES,89.6,80400000,7203840000.0
UAL,UAL.N0000,UNION ASSURANCE,77.3,589285720,45551786156.0
UBC,UBC.N0000,UNION BANK,14.9,1083558338,16145019236.2
UBF,UBF.N0000,UB FINANCE,3.1,3178485367,9853304637.7
UCAR,UCAR.N0000,UNION CHEMICALS,1385.0,1500000,2077500000.0
UDPL,UDPL.N0000,UDAPUSSELLAWA,171.5,19398850,3326902775.0
UML,UML.N0000,UNITED MOTORS,305.0,100900626,30774690930.0
VFIN,VFIN.N0000,VALLIBEL FINANCE,104.5,235453400,24604880300.0
VLL,VLL.N0000,VIDULLANKA,23.0,951421699,21882699077.0
VONE,VONE.N0000,VALLIBEL ONE,98.8,1138915644,112524865627.2
VPEL,VPEL.N0000,VALLIBEL,14.8,747109731,11057224018.8
WAPO,WAPO.N0000,GALLE FACE CAP,98.0,29582029,2899038842.0
WATA,WATA.N0000,WATAWALA,46.7,1016543165,47472565805.5
WIND,WIND.N0000,WINDFORCE,46.3,1352583889,62624634060.7
YORK,YORK.N0000,YORK ARCADE,892.5,750000,669375000.0
